web100_log_entry_log_time,web100_log_entry_connection_spec_remote_ip,web100_log_entry_snap_HCThruOctetsAcked,web100_log_entry_snap_SndLimTimeRwin,web100_log_entry_snap_SndLimTimeCwnd,web100_log_entry_snap_SndLimTimeSnd,web100_log_entry_snap_MinRTT,web100_log_entry_snap_MaxRTT,web100_log_entry_snap_SumRTT,web100_log_entry_snap_CountRTT,web100_log_entry_snap_MaxMSS,web100_log_entry_snap_MaxPipeSize,web100_log_entry_snap_SegsRetrans,web100_log_entry_snap_SegsOut,web100_log_entry_snap_DataSegsOut,web100_log_entry_snap_CongSignals,web100_log_entry_snap_Timeouts,web100_log_entry_snap_DupAcksOut,web100_log_entry_snap_ECNsignals,web100_log_entry_snap_PreCongSumCwnd,web100_log_entry_snap_PreCongSumRTT,connection_spec_client_geolocation_country_code,connection_spec_server_geolocation_country_code
1398215957,186.167.243.9,90016,0,10197977,442693,319,804,38835,55,1012,,2,99,99,2,0,0,,16192,1520,VE,
1396584785,200.8.244.137,11636100,8764589,1315314,215171,54,541,860103,3986,1460,,0,8161,8161,0,0,0,,0,0,VE,US
1396584398,186.93.35.192,853120,0,10234825,277783,98,615,62320,267,1460,,19,617,617,2,1,0,,67160,987,VE,US
1396584720,200.8.244.137,11346524,8526394,1515971,172338,69,532,1042594,3886,1460,,0,8010,8010,0,0,0,,0,0,VE,US
1389817012,186.95.162.8,74460,0,10498141,338870,184,386,3860,15,1460,,9,63,63,5,3,0,,23360,1086,VE,US
1399783241,190.72.160.142,2334432,0,10041117,163035,69,307,64116,614,1448,,8,1655,1655,2,0,0,,70952,404,VE,
1399782798,181.208.238.68,5165312,8876669,1200758,252526,67,836,402018,975,1448,,0,3793,3793,0,0,0,,0,0,VE,
1389577518,181.208.234.172,416248,0,10324669,433313,110,620,49474,139,1448,,5,306,306,3,0,0,,98464,988,VE,
1398309057,200.8.22.168,1365176,22037,10145128,165553,60,284,33167,377,1460,,22,965,965,11,0,0,,213160,959,VE,US
1395547663,186.92.120.113,1998628,819125,9458692,316936,127,322,172990,656,1452,,14,1438,1438,1,0,0,,95832,310,VE,US
1395547887,186.92.120.113,2002308,754975,9311553,161963,126,320,170410,657,1452,,16,1442,1442,1,0,0,,97284,317,VE,US
1389149844,190.142.141.220,3229036,0,10190006,270805,72,304,51138,584,1460,,3,2231,2231,0,2,0,,0,0,VE,US
1389149791,190.142.141.220,4443964,2931208,7099810,196258,73,1408,76066,876,1460,,14,3103,3103,0,1,0,,0,0,VE,US
1389149900,190.142.141.220,7114788,9225145,788883,251867,73,183,128194,1546,1460,,0,4919,4919,0,0,0,,0,0,VE,US
1389149596,190.39.224.72,128480,0,9618087,597107,200,278,7363,33,1460,,12,103,103,7,2,0,,35040,1669,VE,US
1389149796,186.89.185.196,1797908,9061070,1097369,303536,122,360,204968,616,1460,,0,1276,1276,0,0,0,,0,0,VE,US
1389149747,190.142.141.220,3059616,0,10030287,206418,79,186,77613,829,1460,,1,2144,2144,0,1,0,,0,0,VE,US
1389149422,190.142.141.220,6491816,8927520,1120755,217782,73,313,134949,1498,1460,,0,4475,4475,0,0,0,,0,0,VE,US
1390399408,186.14.76.8,1139048,9532379,435319,243024,76,278,66506,436,1260,,0,919,919,0,0,0,,0,0,VE,US
1399307210,186.93.132.179,112420,0,10274275,297501,209,589,11592,31,1460,,9,89,89,4,1,0,,26280,1700,VE,
1394033673,186.89.105.222,64240,0,10425034,162128,209,454,2805,10,1460,,13,63,63,3,2,0,,16060,721,VE,GB
1396607972,186.93.39.128,1806448,0,10213707,186134,72,314,147921,732,1448,,24,1290,1290,3,0,0,,169416,810,VE,US
1399183122,186.167.243.74,3393988,0,9959084,317936,124,892,724938,2937,1012,,22,3437,3437,2,0,0,,279312,634,VE,
1399182927,186.167.243.74,1652932,0,10071900,258260,124,326,240273,1526,1012,,5,1667,1667,3,0,0,,93104,409,VE,
1399182973,186.167.243.74,1636428,0,9875898,337567,123,359,255476,1499,1012,,4,1651,1651,2,0,0,,75900,344,VE,
1399183049,186.167.243.74,1670796,4168840,6043206,218886,134,1808,910240,1288,1012,,15,1815,1815,2,0,0,,439208,1788,VE,
1399182400,186.88.202.201,1710876,168943,9870931,181540,110,288,142973,729,1460,,1,1195,1195,1,0,0,,52560,288,VE,US
1399182885,186.167.243.74,1053180,1872876,8632064,258461,125,1970,652051,655,1012,,24,1090,1090,2,0,0,,328900,868,VE,
1399183008,186.167.243.74,1792788,0,9939489,313637,123,363,296846,1646,1012,,8,1808,1808,2,0,0,,91080,301,VE,
1399660335,186.91.134.205,1813320,350701,9793700,176861,82,266,154092,765,1460,,13,1287,1287,2,0,0,,113880,529,VE,US
1399661032,186.91.251.76,516756,0,9690421,495300,141,506,44895,170,1460,,2,369,369,1,0,0,,20440,325,VE,US
1397050200,186.14.161.170,1163288,7830475,2486385,116147,167,1029,323467,399,1460,,0,878,878,0,0,0,,0,0,VE,NL
1391952079,190.142.213.74,454056,0,9769032,564966,63,809,62122,201,1448,,1,330,330,1,1,0,,18824,761,VE,
1399858735,190.142.158.76,354208,0,10509241,172530,490,776,44281,74,1460,,1,263,263,1,0,0,,42340,727,VE,US
1399858369,200.82.227.165,465656,0,9839179,354382,78,707,40737,171,1448,,9,338,338,4,1,0,,62264,1268,VE,
1396717570,186.94.164.134,873728,550968,9908393,163530,136,296,39851,238,1460,,8,620,620,8,0,0,,181040,1425,VE,US
1396717877,186.93.211.197,1181788,289675,10059671,164241,140,402,113291,366,1460,,14,843,843,2,0,0,,113880,791,VE,US
1392489164,200.8.139.230,1090860,0,9841339,351520,66,162,31441,340,1460,,11,768,768,9,0,0,,110960,885,VE,US
1392489412,200.8.125.143,7558544,3542076,6693737,174108,69,627,257145,1304,1448,,5,5285,5285,2,0,0,,474944,603,VE,
1392489489,186.90.154.119,1259796,5702965,6409622,267734,112,2179,392524,383,1460,,45,1057,1057,1,0,0,,318280,2179,VE,US
1394124269,190.200.180.20,894168,967252,8851040,371836,134,420,49224,252,1460,,8,630,630,5,0,0,,138700,1132,VE,US
1396194004,186.95.169.164,3454096,748690,9301513,162268,96,615,222216,994,1460,,74,2473,2473,3,0,0,,473040,1074,VE,US
1396193725,186.91.157.138,1620600,8560741,1494902,190624,90,184,57989,554,1460,,0,1122,1122,0,0,0,,0,0,VE,US
1395371381,200.82.172.167,255580,2186684,7639065,251043,77,732,16287,73,1460,,7,188,188,2,1,0,,23360,627,VE,US
1395370934,190.142.120.230,1981632,3656508,6522446,369445,131,717,173491,486,1448,,2,1402,1402,2,0,0,,215752,856,VE,
1395370900,190.142.120.230,1839096,4881922,5242819,179805,176,724,214106,486,1448,,5,1327,1327,1,0,0,,141904,613,VE,
1395371236,190.142.33.143,887336,0,9839969,351840,52,269,19570,243,1460,,17,633,633,13,0,0,,110960,1046,VE,US
1395371622,201.249.203.18,838036,0,9278297,918562,64,263,60222,496,1460,,19,609,609,5,1,0,,80300,772,VE,US
1395371716,201.249.203.18,4098864,1159356,8807034,237866,62,165,271480,2691,1460,,8,2860,2860,3,0,0,,154760,480,VE,US
1391569106,200.8.19.227,569080,1219632,11210797,181506,79,1553,172160,219,1448,,32,443,443,2,1,0,,169416,2490,VE,
1388849446,186.95.103.162,1708848,432806,9583168,184165,100,305,101616,490,1460,,12,1205,1205,2,0,0,,115340,558,VE,US
1393546261,200.8.218.46,1379848,262933,9677772,263398,224,476,47387,166,1460,,4,969,969,2,0,0,,131400,582,VE,US
1399855484,181.208.168.38,1212852,0,9954302,355994,63,267,31424,369,1460,,11,856,856,9,0,0,,105120,868,VE,US
1399855057,181.208.248.48,475708,0,10042256,167777,139,518,31132,118,1460,,2,339,339,1,0,0,,18980,385,VE,US
1390098554,186.14.187.201,2279152,0,9949308,278246,53,134,83858,1005,1448,,8,1603,1603,8,0,0,,179552,755,VE,
1398967361,200.8.114.31,516840,0,9920160,168546,155,552,31579,121,1460,,2,369,369,2,0,0,,36500,443,VE,US
1400908437,186.188.58.37,12077908,9265913,698477,208957,54,267,872714,4124,1460,,0,8462,8462,0,0,0,,0,0,VE,US
1400907976,200.8.86.2,1182024,391154,9915156,175710,108,466,100203,338,1460,,36,895,895,1,0,0,,122640,459,VE,US
1399747442,186.95.194.178,659108,8093520,2170203,167308,151,1031,198906,226,1460,,0,497,497,0,0,0,,0,0,VE,US
1399746637,186.14.154.169,4244544,8430156,1637193,162745,60,606,667088,1455,1460,,1,3079,3079,1,0,0,,249660,508,VE,US
1399746791,186.14.154.169,1349280,0,10069764,193286,47,136,26059,412,1460,,29,961,961,17,1,0,,169360,1155,VE,US
1399747356,186.14.154.169,3938264,59955,9976661,193051,48,91,77783,1278,1460,,7,2721,2721,7,0,0,,204400,459,VE,US
1390019065,200.75.100.5,1467112,96097,10020777,228269,66,158,33935,393,1460,,27,1040,1040,7,1,0,,118260,645,VE,US
1390019158,186.95.115.161,1194928,0,10004096,212059,87,265,66903,390,1460,,4,840,840,2,0,0,,55480,524,VE,US
1396478765,190.200.2.247,272044,0,10101415,165248,234,446,24334,99,1460,,5,202,202,4,0,0,,32120,985,VE,US
1389145881,181.208.230.186,217832,0,11167080,205787,176,1517,53855,104,1448,,0,166,166,0,0,0,,0,0,VE,
1397452211,186.93.229.252,1645660,471321,9612706,212285,148,321,132351,551,1460,,5,1172,1172,1,0,0,,65700,321,VE,US
1395418903,190.204.224.236,292000,9461484,448951,165799,217,425,29212,107,1460,,0,205,205,0,0,0,,0,0,VE,
